title,release_year,genres,cast,director,worldwide_collection
Iron Man,2008,"Action, Adventure, Sci-Fi","Robert Downey Jr., Gwyneth Paltrow, Terrence Howard, Jeff Bridges",Jon Favreau,585796247
The Incredible Hulk,2008,"Action, Adventure, Sci-Fi","Edward Norton, Liv Tyler, Tim Roth, William Hurt",Louis Leterrier,264770996
Iron Man 2,2010,"Action, Sci-Fi","Robert Downey Jr., Mickey Rourke, Gwyneth Paltrow, Don Cheadle",Jon Favreau,623933331
Thor,2011,"Action, Adventure, Fantasy","Chris Hemsworth, Anthony Hopkins, Natalie Portman, Tom Hiddleston",Kenneth Branagh,449326618
Captain America: The First Avenger,2011,"Action, Adventure, Sci-Fi","Chris Evans, Hugo Weaving, Samuel L. Jackson, Hayley Atwell",Joe Johnston,370569774
The Avengers,2012,"Action, Sci-Fi","Robert Downey Jr., Chris Evans, Scarlett Johansson, Mark Ruffalo, Chris Hemsworth, Jeremy Renner",Joss Whedon,1518815515
Iron Man 3,2013,"Action, Adventure, Sci-Fi","Robert Downey Jr., Guy Pearce, Gwyneth Paltrow, Don Cheadle",Shane Black,1214811252
Thor: The Dark World,2013,"Action, Adventure, Fantasy","Chris Hemsworth, Natalie Portman, Tom Hiddleston, Stellan Skarsgård",Alan Taylor,644571402
Captain America: The Winter Soldier,2014,"Action, Adventure, Sci-Fi","Chris Evans, Samuel L. Jackson, Scarlett Johansson, Anthony Mackie, Sebastian Stan","Anthony Russo, Joe Russo",714421503
Guardians of the Galaxy,2014,"Action, Adventure, Comedy, Sci-Fi","Chris Pratt, Vin Diesel, Bradley Cooper, Zoe Saldana, Dave Bautista",James Gunn,773350112
Avengers: Age of Ultron,2015,"Action, Adventure, Sci-Fi","Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth, Scarlett Johansson, Jeremy Renner",Joss Whedon,1402809540
Ant-Man,2015,"Action, Adventure, Comedy, Sci-Fi","Paul Rudd, Michael Douglas, Evangeline Lilly, Corey Stoll",Peyton Reed,519311965
Captain America: Civil War,2016,"Action, Adventure, Sci-Fi","Chris Evans, Robert Downey Jr., Scarlett Johansson, Sebastian Stan, Anthony Mackie","Anthony Russo, Joe Russo",1153337496
Doctor Strange,2016,"Action, Adventure, Fantasy, Sci-Fi","Benedict Cumberbatch, Chiwetel Ejiofor, Rachel McAdams, Benedict Wong, Mads Mikkelsen",Scott Derrickson,677796076
